Samples	Sample description	X4E_BP1_S65	AKT_S473	AKT_T308	AMPKa1_S485	AMPKb1_S108	Bcl2_S70	CC3_D175	cKit_Y703	Cofilin_S3	cPLA2_S505	E_Cadherin	EGFR_Y1068	EGFR_Y1148	EGFR_Y1173	ErbB2_Y1248	ErbB3_Y1289	ERK_T202Y204	FAK_Y576Y577	GSK3ab_S21S9	LC3B	LIMK1_T508_LIMK2_T505	LKB1_S334	IGF1R_Y1135Y1136_IR_Y1150Y1151	mTOR_S2448	p38_MAPK_T180Y182	p90RSK_S380	PAK1_S199S204_PAK2_S192S197	PARP_cleaved_D214	Paxillin_Y118	PDGFRa_Y754	PDGFRb_Y716	PKC_ab_T638T641	PLCg1_Y783	Ret_Y905	Ron_Y1353	SAPK_JNK_T183Y185	Src_Y527	Src_Fam_Y416	cMet	VEGFR2_Y1175	VEGFR2_Y996	PTEN	PTEN_S380	EGFR	Stat3_S727	NFkB_p65_S536	S6_Ribosomal_Protein_S235S236	S6_Ribosomal_Protein_S240S244	SGK1_S78	p53	ALK_Y1586	B_Raf_S445	C_Raf_S338	CREB_S133	Elk1_S383	FKHR_S256	IRS1_S612	MDM2_S166	MEK_12_S217S221	p70_S6_Kinase_T412	Raf_S259	Ras_GRF1_S916	Shc_Y317	Smad1_5_8_SS	Stat5_Y694	MGMT	Met_Y1234Y1235	Cyclin_B1	Cyclin_D1	ERa_S118
HF2927_X1400	xenograft	-25.00	509.67	484.15	149.86	253.19	38.18	-12.14	58.92	-264.11	149.17	4.83	115.50	251.26	211.46	-5.06	11.08	687.14	30.59	298.32	-186.22	27.77	55.97	53.02	-296.85	456.35	144.13	-107.48	-66.05	4.44	-20.26	45.28	310.42	105.14	125.98	9.63	4.09	271.43	86.94	1300.72	24.11	69.84	-196.75	-116.11	473.00	304.40	83.99	135.66	385.21	135.00	-13.54	-31.45	7.53	187.42	245.00	192.11	-102.21	86.91	34.65	194.39	363.35	576.07	59.11	102.77	180.4896981	198.48	67.03	353.66	474.65	295.61	69.52
HF3016_T_v1T	tumor	-26.66	517.06	492.12	151.58	256.32	38.05	-13.46	59.61	-278.38	149.70	4.56	117.75	253.69	215.24	-5.37	9.35	698.90	30.09	301.04	-196.32	25.68	54.88	53.20	-307.47	463.45	145.68	-111.45	-68.03	4.42	-21.05	46.01	314.88	106.40	128.23	9.31	1.70	270.27	86.83	1326.67	23.68	69.18	-203.65	-120.88	481.79	309.20	84.64	136.81	389.57	134.78	-16.08	-34.29	4.26	189.62	247.37	193.82	-108.18	87.37	35.28	194.57	367.21	584.60	55.48	104.57	181.58	199.32	68.04	359.76	478.83	298.42	69.89
HF3016_NP_RPPA	neurosphere	-27.49	520.76	496.10	152.44	257.88	37.99	-14.12	59.96	-285.51	149.97	4.43	118.88	254.90	217.13	-5.53	8.49	704.78	29.83	302.40	-201.38	24.64	54.34	53.28	-312.78	467.00	146.45	-113.43	-69.02	4.41	-21.44	46.37	317.12	107.03	129.36	9.15	0.50	269.69	86.77	1339.64	23.47	68.85	-207.10	-123.26	486.18	311.60	84.97	137.39	391.75	134.67	-17.35	-35.72	2.62	190.72	248.55	194.67	-111.16	87.60	35.60	194.66	369.14	588.86	53.67	105.47	182.13	199.74	68.54	362.81	480.92	299.82	70.08
HF3016_X1879	xenograft	-28.32	524.45	500.09	153.30	259.45	37.92	-14.78	60.30	-292.65	150.24	4.29	120.00	256.11	219.03	-5.68	7.62	710.66	29.58	303.76	-206.43	23.59	53.79	53.37	-318.09	470.55	147.23	-115.42	-70.02	4.40	-21.83	46.74	319.35	107.66	130.49	8.99	-0.70	269.11	86.72	1352.62	23.26	68.52	-210.54	-125.64	490.58	314.00	85.30	137.97	393.94	134.56	-18.62	-37.14	0.99	191.82	249.74	195.52	-114.14	87.83	35.91	194.75	371.07	593.12	51.86	106.37	182.6709016	200.15	69.05	365.86	483.02	301.23	70.26
HF3016_X1880	xenograft	-29.15	528.15	504.07	154.15	261.01	37.85	-15.44	60.65	-299.78	150.50	4.16	121.13	257.33	220.92	-5.84	6.75	716.54	29.33	305.12	-211.48	22.55	53.25	53.46	-323.40	474.10	148.00	-117.40	-71.01	4.39	-22.22	47.10	321.58	108.29	131.61	8.83	-1.89	268.53	86.66	1365.59	23.04	68.19	-213.99	-128.03	494.97	316.40	85.62	138.55	396.12	134.45	-19.89	-38.56	-0.64	192.92	250.92	196.37	-117.13	88.05	36.23	194.84	373.01	597.38	50.04	107.2761111	183.22	200.57	69.55	368.91	485.11	302.63	70.45
HF3016_X1881	xenograft	-29.98	531.84	508.06	155.01	262.57	37.79	-16.10	61.00	-306.91	150.77	4.03	122.25	258.54	222.81	-6.00	5.89	722.42	29.08	306.47	-216.54	21.50	52.70	53.55	-328.71	477.65	148.78	-119.39	-72.00	4.38	-22.62	47.47	323.82	108.92	132.74	8.67	-3.09	267.95	86.61	1378.56	22.83	67.86	-217.44	-130.41	499.36	318.80	85.95	139.13	398.30	134.34	-21.16	-39.98	-2.28	194.02	252.10	197.23	-120.11	88.28	36.54	194.93	374.94	601.65	48.23	108.18	183.76	200.99	70.05	371.96	487.20	304.04	70.63
HF3020	tumor did not pass QC	-31.63673789	539.2358723	516.0243214	156.7323162	265.700661	37.65542152	-17.42637583	61.68684517	-321.1808959	151.3042336	3.764358064	124.5015681	260.96297	226.5955843	-6.308917769	4.156257261	734.1824617	28.58045859	309.1934553	-226.6414872	19.41187761	51.61007528	53.72043602	-339.3339479	484.7535775	150.3292668	-123.355072	-73.98635829	4.362299099	-23.40053814	48.19939164	328.2827181	110.1833736	134.9901858	8.345687284	-5.485007845	266.7842091	86.49679231	1404.50796	22.39784697	67.19473492	-224.334973	-135.1722342	508.1529298	323.6055734	86.60400873	140.2842181	402.6691259	134.122209	-23.69926942	-42.82859051	-5.547809608	196.2164848	254.472759	198.9290668	-126.0742102	88.73908349	37.17295875	195.1145562	378.7995514	610.1700788	44.59873115	109.9807131	184.8521051	201.8302351	71.06223217	378.1	491.4	306.8	71.0
HF3018_NP_RPPA	neurosphere	-32.47	542.93	520.01	157.59	267.26	37.59	-18.09	62.03	-328.31	151.57	3.63	125.63	262.18	228.49	-6.47	3.29	740.06	28.33	310.55	-231.69	18.37	51.06	53.81	-344.64	488.30	151.10	-125.34	-74.98	4.35	-23.79	48.56	330.52	110.81	136.12	8.18	-6.68	266.20	86.44	1417.48	22.18	66.86	-227.78	-137.55	512.55	326.01	86.93	140.86	404.85	134.01	-24.97	-44.25	-7.18	197.32	255.66	199.78	-129.06	88.97	37.49	195.21	380.73	614.43	42.78	110.88	185.40	202.25	71.57	381.11	493.48	308.25	71.19
HF3018_X1723	xenograft	-33.30	546.63	523.99	158.45	268.83	37.52	-18.75	62.38	-335.45	151.84	3.50	126.75	263.39	230.38	-6.62	2.42	745.94	28.08	311.91	-236.75	17.32	50.52	53.90	-349.95	491.85	151.88	-127.32	-75.97	4.34	-24.19	48.93	332.75	111.44	137.24	8.02	-7.88	265.62	86.39	1430.45	21.97	66.53	-231.23	-139.94	516.94	328.41	87.26	141.44	407.04	133.90	-26.24	-45.67	-8.82	198.42	256.84	200.63	-132.04	89.20	37.80	195.30	382.66	618.69	40.97	111.78	185.94	202.67	72.07	384.16	495.58	309.66	71.38
HF3018_X1725	xenograft	-34.12	550.32	527.98	159.31	270.39	37.46	-19.41	62.72	-342.58	152.11	3.37	127.88	264.60	232.27	-6.78	1.56	751.82	27.83	313.27	-241.80	16.28	49.97	53.98	-355.26	495.40	152.66	-129.31	-76.96	4.33	-24.58	49.30	334.98	112.08	138.37	7.86	-9.08	265.04	86.33	1443.43	21.75	66.20	-234.68	-142.32	521.34	330.81	87.58	142.02	409.22	133.79	-27.51	-47.10	-10.45	199.51	258.02	201.49	-135.02	89.42	38.12	195.39	384.59	622.96	39.16	112.69	186.49	203.09	72.57	387.21	497.6691529	311.06	71.56
HF3018_X1731	xenograft	-34.95	554.02	531.96	160.17	271.95	37.39	-20.07	63.07	-349.71	152.37	3.23	129.00	265.81	234.16	-6.93	0.69	757.71	27.58	314.63	-246.85	15.23	49.43	54.07	-360.57	498.95	153.43	-131.29	-77.96	4.33	-24.97	49.66	337.22	112.71	139.50	7.70	-10.27	264.46	86.28	1456.40	21.54	65.87	-238.13	-144.70	525.73	333.21	87.91	142.60	411.40	133.68	-28.78	-48.52	-12.09	200.61	259.21	202.34	-138.01	89.65	38.43	195.48	386.52	627.22	37.34142521	113.5868492	187.03	203.5057973	73.08	390.26	499.76	312.47	71.75
HF3035_T_v3	tumor	-36.61	561.41	539.93	161.89	275.08	37.26	-21.39	63.76	-363.98	152.91	2.97	131.25	268.24	237.95	-7.25	-1.04	769.47	27.08	317.35	-256.96	13.14	48.34	54.25	-371.19	506.06	154.98	-135.26	-79.94	4.31	-25.76	50.39	341.68	113.97	141.75	7.38	-12.67	263.30	86.17	1482.35	21.11	65.21	-245.02	-149.47	534.52	338.01	88.56	143.75	415.77	133.46	-31.32	-51.36	-15.35	202.81	261.58	204.04	-143.97	90.11	39.07	195.66	390.39	635.74	33.71	115.39	188.12	204.34	74.09	396.36	503.95	315.28	72.12
HF3035_NP_RPPA_z3	neurosphere	-37.44	565.11	543.92	162.75	276.64	37.19	-22.05	64.11	-371.11	153.17	2.84	132.38	269.45	239.84	-7.40	-1.91	775.35	26.82	318.71	-262.01	12.10	47.79	54.33	-376.50	509.61	155.76	-137.25	-80.93	4.30	-26.15	50.76	343.91	114.60	142.87	7.22	-13.86	262.72	86.11	1495.32	20.90	64.88	-248.47	-151.85	538.91	340.41	88.89	144.33	417.95	133.35	-32.59	-52.79	-16.99	203.91	262.76	204.89	-146.95	90.34	39.38	195.75	392.32	640.01	31.90	116.29	188.67	204.76	74.59	399.41	506.04	316.68	72.30
HF3035_X2156	xenograft	-38.27	568.80	547.90	163.61	278.21	37.13	-22.71	64.45	-378.25	153.44	2.70	133.50	270.66	241.73	-7.56	-2.77	781.23	26.57	320.07	-267.06	11.05	47.25	54.42	-381.81	513.16	156.53	-139.23	-81.93	4.29	-26.54	51.12	346.15	115.23	144.00	7.06	-15.06	262.14	86.06	1508.29	20.68	64.55	-251.92	-154.23	543.31	342.82	89.22	144.91	420.13	133.24	-33.86	-54.21	-18.62	205.01	263.94	205.75	-149.94	90.56	39.70	195.84	394.25	644.27	30.08	117.19	189.21	205.18	75.10	402.46	508.13	318.09	72.49
HF3035_X2157	xenograft	-39.10	572.50	551.89	164.46	279.77	37.06	-23.37	64.80	-385.38	153.71	2.57	134.63	271.87	243.63	-7.72	-3.64	787.11	26.32	321.43	-272.12	10.01	46.70	54.51	-387.12	516.71	157.31	-141.22	-82.92	4.28	-26.93	51.48895596	348.38	115.86	145.13	6.90	-16.26	261.56	86.00	1521.27	20.47	64.22	-255.36	-156.61	547.70	345.22	89.54	145.49	422.32	133.13	-35.13	-55.63	-20.26	206.11	265.13	206.60	-152.92	90.79	40.01	195.93	396.18	648.53	28.27	118.09	189.76	205.60	75.60	405.51	510.23	319.49	72.68
HF3035_X2160	xenograft	-39.93	576.19	555.87	165.32	281.33	36.99	-24.04	65.15	-392.51	153.98	2.44	135.75	273.09	245.52	-7.87	-4.50	792.99	26.07	322.79	-277.17	8.96	46.16	54.60	-392.43	520.26	158.08	-143.20	-83.91	4.27	-27.33	51.85	350.61	116.49	146.25	6.74	-17.46	260.98	85.95	1534.24	20.25	63.88	-258.81	-159.00	552.10	347.62	89.87	146.07	424.50	133.03	-36.39	-57.05	-21.89	207.21	266.31	207.45	-155.90	91.02	40.33	196.02	398.11	652.79	26.46	119.00	190.31	206.02	76.10	408.5648632	512.32	320.90	72.86
HF3055_T_v3	tumor	-41.59	583.59	563.84	167.04	284.46	36.86	-25.36	65.84	-406.78	154.51	2.17	138.01	275.51	249.30	-8.18	-6.24	804.75	25.57	325.51	-287.28	6.87	45.06	54.77	-403.05	527.36	159.63	-147.17	-85.90	4.25	-28.11	52.59	355.08	117.75	148.51	6.41	-19.85	259.82	85.84	1560.19	19.82	63.22	-265.71	-163.76	560.88	352.42	90.52	147.22	428.86	132.81	-38.93	-59.90	-25.16	209.41	268.68	209.15	-161.87	91.48	40.96	196.21	401.97	661.32	22.83	120.80	191.40	206.86	77.11	414.67	516.51	323.71	73.23
HF137_EP_8	non-tumor brain	-42.42	587.28	567.82	167.90	286.02		-26.02	66.18	-413.91	154.78	2.04	139.13	276.72	251.20	-8.34	-7.10	810.63	25.32	326.87	-292.33	5.83	44.52	54.86	-408.36	530.91	160.41	-149.16	-86.89	4.24	-28.50		357.31	118.38	149.63	6.25	-21.05	259.23	85.78	1573.16	19.61	62.89	-269.16	-166.14	565.28	354.82	90.85	147.80	431.05	132.70	-40.20	-61.32		210.51	269.86	210.00	-164.85	91.70	41.27	196.30	403.91	665.58	21.01	121.70	191.94	207.28	77.62	417.72	518.60	325.11	73.42
HF156_EP_5	non-tumor brain	-43.25	590.98	571.81	168.76	287.59	36.80	-26.68	66.53	-421.05	155.04	1.91	140.26	277.94	253.09	-8.50	-7.97	816.51	25.07	328.23	-297.38	4.78	43.97	54.95	-413.67	534.46	161.19	-151.14	-87.88	4.23	-28.90	52.95	359.55	119.01	150.76	6.09	-22.24	258.65	85.73	1586.13	19.40	62.56	-272.60	-168.53	569.67	357.22	91.18	148.38	433.23	132.59	-41.47	-62.74	-26.79	211.61	271.05	210.86	-167.83	91.93	41.59	196.39	405.84	669.84	19.20	122.60	192.49	207.69	78.12	420.77	520.69	326.52	73.60374773
HF163_EP_7	non-tumor brain	-44.07	594.67	575.79	169.62	289.15	36.73	-27.34	66.88	-428.18	155.31	1.77	141.38	279.15	254.98	-8.65	-8.83	822.39	24.82	329.59	-302.43	3.74	43.43	55.03	-418.98	538.01	161.96	-153.13	-88.87	4.23	-29.29	53.32	361.78	119.64	151.88	5.93	-23.44	258.07	85.67	1599.10	19.18	62.23	-276.05	-170.91	574.07	359.62	91.50	148.96	435.41	132.48	-42.74	-64.17	-28.43	212.71	272.23	211.71	-170.81	92.16	41.90	196.48	407.77	674.10	17.38	123.5037233	193.03	208.11	78.62	423.8154008	522.79	327.92	73.79
HF2354_T_v1B	tumor	-45.73	602.06	583.76	171.34	292.28	36.59792817	-28.66	67.57	-442.45	155.84	1.51	143.63	281.57	258.76	-8.96	-10.57	834.15	24.32	332.30	-312.54	1.65	42.34	55.21	-429.60	545.11	163.51	-157.10	-90.86	4.21	-30.07	54.05	366.25	120.91	154.14	5.61	-25.84	256.91	85.56	1625.05	18.75	61.57	-282.95	-175.67	582.86	364.43	92.16	150.12	439.78	132.26	-45.28	-67.01062038	-31.70	214.91	274.60	213.41	-176.78	92.62	42.54	196.66	411.63	682.63	13.76	125.31	194.12	208.95	79.63	429.92	526.97	330.73	74.16
HF2354_NP_RPPA	neurosphere	-46.56	605.76	587.75	172.20	293.84	36.53	-29.32	67.91	-449.58	156.11	1.38	144.76	282.79	260.66	-9.12	-11.43	840.03	24.07	333.66	-317.59	0.60	41.79	55.30	-434.91	548.66	164.29	-159.08	-91.85	4.20	-30.47	54.41	368.48	121.54	155.26	5.45	-27.03	256.33	85.51	1638.02	18.54	61.24	-286.39	-178.06	587.25	366.83	92.48	150.69	441.96	132.15	-46.55	-68.43	-33.33	216.00	275.78	214.26	-179.76	92.84	42.85	196.75	413.56	686.89	11.94	126.21	194.67	209.37	80.14	432.97	529.06	332.14	74.35
HF2354_X1313	xenograft	-47.39	609.46	591.73	173.06	295.40	36.47	-29.98	68.26	-456.71	156.38	1.24	145.88	284.00	262.55	-9.28	-12.30	845.91	23.82	335.02	-322.65	-0.44	41.25	55.38	-440.22	552.21	165.06	-161.07	-92.84	4.19	-30.86	54.78	370.71	122.17	156.39	5.29	-28.23	255.75	85.45	1651.00	18.32	60.91	-289.84	-180.44	591.64	369.23	92.81	151.27	444.15	132.04	-47.82	-69.86	-34.97	217.10	276.97	215.12	-182.75	93.07	43.17	196.84	415.49	691.15	10.13	127.11	195.21	209.79	80.64	436.02	531.16	333.54	74.53
HF2354_X1317	xenograft	-48.22	613.15	595.72	173.91	296.97	36.40	-30.64	68.61	-463.85	156.65	1.11	147.01	285.21	264.44	-9.43	-13.16	851.80	23.56	336.38	-327.70	-1.49	40.70	55.47	-445.53	555.76	165.84	-163.05	-93.84	4.18	-31.25	55.14	372.95	122.80	157.52	5.13	-29.43	255.17	85.40	1663.97	18.11	60.57	-293.29	-182.82	596.04	371.63	93.14	151.85	446.33	131.93	-49.09	-71.28	-36.60	218.20	278.15	215.97	-185.73	93.30	43.48	196.94	417.42	695.41	8.31	128.01	195.76	210.21	81.14	439.07	533.25	334.95	74.72
HF2354_X1321	xenograft	-49.05	616.85	599.70	174.77	298.53	36.33	-31.31	68.95	-470.98	156.91	0.98	148.13	286.42	266.33	-9.59	-14.03	857.68	23.31	337.74	-332.75	-2.53	40.16	55.56	-450.84	559.31	166.61	-165.04	-94.83	4.17	-31.64	55.51	375.18	123.43	158.64	4.96	-30.62	254.59	85.34	1676.94	17.89	60.24	-296.74	-185.20	600.43	374.03	93.46	152.43	448.51	131.82	-50.36	-72.70	-38.23	219.30	279.34	216.82	-188.71	93.53	43.80	197.03	419.36	699.68	6.50	128.91	196.30	210.63	81.65	442.12	535.34	336.35	74.90
HF2587_T_v8	tumor	-50.71	624.24	607.67	176.49	301.65	36.20	-32.63	69.64	-485.25	157.45	0.71	150.38	288.85	270.12	-9.90	-15.76	869.44	22.81	340.46	-342.86	-4.62	39.06	55.73	-461.46	566.41	168.16	-169.01	-96.81	4.15	-32.43	56.24	379.65	124.69	160.89	4.64	-33.02	253.43	85.23	1702.89	17.47	59.58	-303.63	-189.97	609.22	378.8343253	94.11619817	153.58	452.88	131.5989901	-52.90	-75.55	-41.50	221.50	281.70	218.52	-194.68	93.98	44.43	197.21	423.22	708.20	2.87	130.72	197.39	211.46	82.66	448.22	539.53	339.16	75.27
HF2587_NP_RPPA	neurosphere	-51.54	627.94	611.65	177.35	303.22	36.14	-33.29	69.99	-492.38	157.71	0.58	151.51	290.06	272.01	-10.06	-16.63	875.32	22.56	341.82	-347.91	-5.67	38.52	55.82	-466.77	569.96	168.94	-170.99	-97.81	4.14	-32.82	56.61	381.88	125.32	162.02	4.48	-34.22	252.85	85.17	1715.86	17.25	59.25	-307.08	-192.35	613.62	381.24	94.44	154.16	455.06	131.49	-54.17	-76.97	-43.14	222.60	282.89	219.38	-197.66	94.21	44.74	197.30	425.15	712.46	1.05	131.62	197.94	211.88	83.16	451.27	541.62	340.57	75.46
HF2587_X1317	xenograft	-52.37	631.63	615.64	178.21	304.78	36.07	-33.95	70.33	-499.51	157.98	0.45	152.63	291.27	273.90	-10.21	-17.49	881.20	22.31	343.18	-352.96	-6.71	37.97	55.91	-472.09	573.51	169.72	-172.98	-98.80	4.13	-33.21	56.97	384.11	125.95	163.15	4.32	-35.41	252.27	85.12	1728.84	17.04	58.92	-310.53	-194.73	618.01	383.64	94.77	154.74	457.24	131.38	-55.44	-78.39	-44.77	223.70	284.07	220.23	-200.64	94.44	45.06	197.39	427.08	716.73	-0.76	132.52	198.48	212.30	83.67	454.32	543.72	341.97	75.65
HF2587_X1336	xenograft	-53.20	635.33	619.62	179.07	306.34	36.00	-34.61	70.68	-506.65	158.25	0.32	153.76	292.49	275.79	-10.37	-18.36	887.08	22.06	344.54	-358.02	-7.76	37.43	56.00	-477.40	577.06	170.49	-174.96	-99.79	4.13	-33.61	57.34	386.34	126.58	164.27	4.16	-36.61	251.69	85.06	1741.81	16.82	58.59	-313.98	-197.11	622.40	386.04	95.10	155.32	459.43	131.27	-56.71	-79.81	-46.41	224.80	285.26	221.08	-203.62	94.67	45.37	197.48	429.01	720.99	-2.57	133.4205975	199.03	212.72	84.17	457.37	545.81	343.3782258	75.83
HF2587_X1337	xenograft	-54.02	639.02	623.61	179.93	307.91	35.94	-35.27	71.03	-513.78	158.52	0.18	154.88	293.70	277.69	-10.53	-19.23	892.96	21.81	345.90	-363.07	-8.80	36.88	56.08	-482.71	580.61	171.27	-176.95	-100.78	4.12	-34.00	57.70	388.58	127.21	165.40	4.00	-37.81	251.10	85.01	1754.78	16.61	58.26	-317.42	-199.50	626.80	388.44	95.42	155.90	461.61	131.16	-57.98	-81.24	-48.04	225.90	286.44	221.93	-206.61	94.90	45.69	197.57	430.94	725.25	-4.39	134.32	199.5752288	213.14	84.67	460.42	547.90	344.78	76.02
HF2927_T_v4	tumor	-55.68	646.41	631.58	181.65	311.03	35.80	-36.59	71.72	-528.05	159.05	-0.08	157.14	296.12	281.47	-10.84	-20.96	904.72	21.31	348.62	-373.17	-10.89	35.79	56.26	-493.33	587.71	172.82	-180.92	-102.77	4.10	-34.78	58.43	393.04	128.47	167.65	3.68	-40.20	249.94	84.90	1780.73	16.18	57.60	-324.32	-204.26	635.59	393.24	96.08	157.05	465.98	130.94	-60.52	-84.08	-51.31	228.10	288.81	223.64	-212.57	95.35	46.32	197.75	434.80	733.77	-8.02	136.13	200.67	213.98	85.68	466.52	552.09	347.59	76.39
HF2927_NP_RPPA	neurosphere	-56.51	650.11	635.56	182.51	312.60	35.74	-37.25	72.06	-535.18	159.32	-0.21	158.26	297.34	283.36	-11.00	-21.82	910.60	21.06	349.98	-378.23	-11.93	35.25	56.35	-498.64	591.26	173.59	-182.90	-103.76	4.09	-35.18	58.80	395.28	129.11	168.78	3.51	-41.40	249.36	84.84	1793.70	15.96	57.26	-327.77	-206.64	639.98	395.64	96.40	157.63	468.16	130.83	-61.79	-85.50	-52.94	229.20	289.99	224.49	-215.56	95.58	46.64	197.85	436.74	738.04	-9.83	137.03	201.21	214.40	86.19	469.57	554.18	349.00	76.57
HF2927_X1394	xenograft	-57.34	653.81	639.55	183.37	314.16	35.67	-37.91	72.41	-542.31	159.58	-0.35	159.39	298.55	285.26	-11.15	-22.69	916.48	20.81	351.34	-383.28	-12.98	34.70	56.43	-503.95	594.81	174.37	-184.88	-104.75	4.08	-35.57	59.16	397.51	129.74	169.90	3.35	-42.60	248.78	84.79	1806.67	15.75	56.93	-331.22	-209.03	644.38	398.04	96.73	158.21	470.34	130.72	-63.05	-86.93	-54.58	230.30	291.18	225.34	-218.54	95.81	46.95	197.94	438.67	742.30	-11.65	137.93	201.76	214.82	86.69	472.62	556.27	350.40	76.76
HF2927_X1399	xenograft	-58.17	657.50	643.53	184.22	315.72	35.61	-38.58	72.76	-549.45	159.85	-0.48	160.51	299.76	287.15	-11.31	-23.56	922.36	20.56	352.70	-388.33	-14.02	34.16	56.52	-509.26	598.36	175.14	-186.87	-105.75	4.07	-35.96	59.53	399.74	130.37	171.03	3.19	-43.79	248.20	84.73	1819.65	15.54	56.60	-334.66	-211.41	648.77	400.45	97.06	158.79	472.52	130.61	-64.32	-88.35	-56.21	231.40	292.36	226.19	-221.52	96.04	47.27	198.03	440.60	746.56	-13.46	138.83	202.30	215.23	87.19	475.67	558.37	351.81	76.95
HF2927_X1400	xenograft	-59.00	661.20	647.51	185.08	317.29	35.54	-39.24	73.10	-556.58	160.12	-0.61	161.64	300.97	289.04	-11.46	-24.42	928.24	20.30	354.06	-393.39	-15.07	33.61	56.61	-514.57	601.92	175.92	-188.85	-106.74	4.06	-36.35	59.90	401.98	131.00	172.16	3.03	-44.99	247.62	84.68	1832.62	15.32	56.27	-338.11	-213.79	653.16	402.85	97.38	159.37	474.71	130.50	-65.59	-89.77	-57.85	232.49	293.54	227.04	-224.50	96.26	47.58	198.12	442.53	750.82	-15.27	139.73	202.847034	215.65	87.70	478.72	560.46	353.21	77.13
HF3016_T_v1T	tumor	-60.66	668.59	655.48	186.80	320.41	35.41	-40.56	73.79	-570.85	160.65	-0.88	163.89	303.40	292.83	-11.78	-26.15	940.01	19.80	356.78	-403.49	-17.16	32.52	56.79	-525.19	609.02	177.47	-192.82	-108.72	4.04	-37.14	60.63	406.44	132.26	174.41	2.71	-47.38	246.46	84.57	1858.57	14.89	55.61	-345.01	-218.56	661.95	407.65	98.04	160.52	479.07	130.28	-68.13	-92.62	-61.12	234.69	295.91	228.75	-230.47	96.72	48.21	198.30	446.39	759.35	-18.90	141.53	203.94	216.49	88.71	484.82	564.65	356.02	77.50
